City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
373,Half Moon Bay,US,82.58,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
376,Naze,JP,77.14,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
377,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
387,Mpongwe,ZM,79.79,broken clouds,-13.5091,28.155,GCMF Office & Lodge
402,Gilgit,PK,75.34,few clouds,35.9221,74.3087,Tourist Hamlet Gilgit
412,Ponta Do Sol,PT,77.72,clear sky,32.6667,-17.1,Hotel do Campo
413,Saint-Georges,GD,89.28,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
419,Hithadhoo,MV,82.96,scattered clouds,-0.6,73.0833,Scoop Guest House
420,Loralai,PK,77.86,overcast clouds,30.3705,68.598,Sana Poultry Loralai
428,Atuona,PF,77.95,scattered clouds,-9.8,-139.0333,Villa Enata
431,Bol,TD,84.74,few clouds,13.4586,14.7147,Hotel 3 Etoiles
436,Barcelona,ES,75.45,few clouds,41.3888,2.159,Axel Hotel Barcelona
438,Santona,ES,80.92,overcast clouds,43.4439,-3.4576,Playamar
440,Hithadhoo,MV,82.96,scattered clouds,-0.6,73.0833,Scoop Guest House
441,Macultepec,MX,88.09,broken clouds,18.1667,-92.8333,La guadalupana
447,Hisua,IN,77.18,overcast clouds,24.8333,85.4167,BANTY HOME
448,Kribi,CM,78.39,few clouds,2.95,9.9167,Les Vagues bleues
452,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
460,Vallenar,CL,78.46,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
462,Caravelas,BR,84.09,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
464,Montemorelos,MX,80.74,overcast clouds,25.2,-99.8167,Best Western Bazarell Inn
470,Cabo San Lucas,MX,81.95,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
475,Naze,JP,77.14,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
477,Havelock,US,80.98,clear sky,34.8791,-76.9013,Sherwood Motel
478,Diego De Almagro,CL,76.87,clear sky,-26.3667,-70.05,hotel luna del desierto
480,Atuona,PF,77.95,scattered clouds,-9.8,-139.0333,Villa Enata
492,Kapaa,US,75.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
500,Butaritari,KI,82.49,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
506,Teguise,ES,77.22,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
512,Kapaa,US,75.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
516,Atuona,PF,77.95,scattered clouds,-9.8,-139.0333,Villa Enata
519,Atuona,PF,77.95,scattered clouds,-9.8,-139.0333,Villa Enata
521,Vung Tau,VN,79.2,broken clouds,10.346,107.0843,Green hotel
527,Takoradi,GH,80.06,light rain,4.8845,-1.7554,Raybow International Hotel
